               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.049789,           0.0006906,           0.0048013,             0.53929,             0.22248,             0.25013,             0.11418,            0.012292,           0.0021145,           0.0015458,           0.0022487,           0.0022487,           0.0022487
                  79,            0.049359,          0.00068218,           0.0047554,             0.54035,              0.2229,             0.25033,             0.11425,            0.012291,           0.0021155,           0.0015445,           0.0022345,           0.0022345,           0.0022345
                  80,            0.049501,          0.00068829,           0.0047704,             0.54045,             0.22283,             0.25017,             0.11442,             0.01229,           0.0021162,           0.0015435,           0.0022204,           0.0022204,           0.0022204
                  81,            0.049601,          0.00070047,           0.0047615,             0.53946,             0.22299,             0.24992,             0.11432,            0.012288,           0.0021145,           0.0015424,           0.0022062,           0.0022062,           0.0022062
                  82,            0.049486,          0.00068983,           0.0047367,             0.54014,              0.2236,             0.25011,             0.11426,            0.012287,           0.0021139,           0.0015423,            0.002192,            0.002192,            0.002192
                  83,            0.049507,          0.00068282,           0.0048026,             0.54397,             0.22323,             0.25004,             0.11422,            0.012287,           0.0021136,           0.0015425,           0.0021779,           0.0021779,           0.0021779
                  84,            0.049588,          0.00068486,           0.0048024,             0.54308,             0.22313,              0.2502,             0.11424,            0.012286,           0.0021135,           0.0015426,           0.0021637,           0.0021637,           0.0021637
                  85,             0.04956,          0.00069048,           0.0047823,             0.53667,             0.22346,              0.2501,             0.11425,            0.012285,           0.0021146,           0.0015429,           0.0021495,           0.0021495,           0.0021495
                  86,             0.04943,          0.00069495,           0.0047226,             0.52682,              0.2234,             0.25027,             0.11428,            0.012284,           0.0021166,           0.0015453,           0.0021353,           0.0021353,           0.0021353
                  87,            0.049432,          0.00069122,           0.0047636,             0.52736,             0.22262,             0.25004,             0.11424,            0.012282,           0.0021172,            0.001549,           0.0021212,           0.0021212,           0.0021212
                  88,            0.049369,          0.00068961,            0.004692,             0.52214,             0.22195,             0.24956,             0.11405,             0.01228,           0.0021165,           0.0015517,            0.002107,            0.002107,            0.002107
                  89,            0.049288,          0.00068947,           0.0046964,             0.52087,             0.22207,             0.24955,               0.114,            0.012279,           0.0021142,           0.0015516,           0.0020928,           0.0020928,           0.0020928
                  90,            0.049485,          0.00068568,           0.0047224,             0.52367,             0.22231,             0.24983,             0.11412,            0.012278,           0.0021122,           0.0015512,           0.0020787,           0.0020787,           0.0020787
                  91,             0.04937,          0.00068528,           0.0047003,             0.52824,             0.22243,             0.25028,             0.11435,            0.012276,           0.0021105,           0.0015503,           0.0020645,           0.0020645,           0.0020645
                  92,             0.04911,          0.00068801,           0.0047028,             0.52721,             0.22263,             0.25031,             0.11445,            0.012278,           0.0021109,           0.0015508,           0.0020503,           0.0020503,           0.0020503
                  93,            0.049376,          0.00069489,           0.0047346,             0.53197,             0.22319,             0.25042,             0.11455,             0.01228,           0.0021128,           0.0015518,           0.0020361,           0.0020361,           0.0020361
                  94,            0.049549,          0.00069225,           0.0047141,             0.53334,             0.22355,             0.25072,             0.11469,             0.01228,           0.0021149,           0.0015515,            0.002022,            0.002022,            0.002022
                  95,             0.04917,          0.00068485,           0.0046642,             0.54118,             0.22376,             0.25121,             0.11478,            0.012279,           0.0021169,           0.0015537,           0.0020078,           0.0020078,           0.0020078
                  96,            0.049104,          0.00068696,            0.004675,             0.53892,             0.22337,             0.25126,             0.11491,            0.012277,           0.0021179,           0.0015563,           0.0019936,           0.0019936,           0.0019936
                  97,            0.049364,          0.00069075,           0.0046787,             0.53599,             0.22288,             0.25134,             0.11521,            0.012276,           0.0021204,           0.0015577,           0.0019794,           0.0019794,           0.0019794
                  98,            0.049042,          0.00068849,           0.0046218,             0.53585,             0.22322,             0.25133,             0.11515,            0.012275,           0.0021202,            0.001559,           0.0019653,           0.0019653,           0.0019653
                  99,            0.049381,          0.00068426,           0.0047026,             0.52815,             0.22361,             0.25091,             0.11505,            0.012275,           0.0021194,           0.0015585,           0.0019511,           0.0019511,           0.0019511
                 100,            0.049359,          0.00069138,            0.004692,             0.53339,             0.22398,             0.25109,             0.11513,            0.012274,             0.00212,            0.001558,           0.0019369,           0.0019369,           0.0019369
                 101,            0.049491,           0.0006927,           0.0046865,             0.52995,             0.22416,             0.25126,             0.11519,            0.012276,           0.0021212,           0.0015609,           0.0019228,           0.0019228,           0.0019228
                 102,            0.049225,           0.0006826,           0.0047111,             0.53533,             0.22425,             0.25146,             0.11525,            0.012277,            0.002122,           0.0015636,           0.0019086,           0.0019086,           0.0019086
                 103,            0.049251,          0.00069513,           0.0046879,             0.53027,             0.22314,             0.25146,             0.11522,            0.012276,           0.0021251,           0.0015643,           0.0018944,           0.0018944,           0.0018944
                 104,             0.04939,           0.0006906,           0.0046645,             0.53593,             0.22283,             0.25166,             0.11556,            0.012274,            0.002124,           0.0015643,           0.0018802,           0.0018802,           0.0018802
                 105,            0.049217,          0.00068957,           0.0046667,             0.54015,             0.22237,             0.25161,              0.1156,            0.012273,           0.0021237,           0.0015639,           0.0018661,           0.0018661,           0.0018661
                 106,            0.049249,          0.00068647,           0.0046749,             0.53821,             0.22319,             0.25196,             0.11578,            0.012273,           0.0021246,           0.0015619,           0.0018519,           0.0018519,           0.0018519
                 107,            0.049008,          0.00068377,            0.004594,             0.53434,             0.22316,             0.25227,             0.11576,            0.012272,           0.0021233,           0.0015602,           0.0018377,           0.0018377,           0.0018377
                 108,            0.049239,          0.00068149,           0.0046854,             0.53561,               0.223,             0.25241,             0.11597,            0.012271,           0.0021247,           0.0015591,           0.0018235,           0.0018235,           0.0018235
                 109,             0.04898,          0.00068496,           0.0046468,             0.54196,             0.22318,             0.25267,             0.11603,            0.012271,           0.0021258,           0.0015589,           0.0018094,           0.0018094,           0.0018094
                 110,            0.049189,            0.000691,           0.0046604,             0.53935,             0.22207,             0.25231,             0.11612,            0.012272,           0.0021271,           0.0015596,           0.0017952,           0.0017952,           0.0017952
                 111,            0.049367,          0.00069526,           0.0046766,               0.544,             0.22215,             0.25208,             0.11584,            0.012273,           0.0021268,           0.0015609,            0.001781,            0.001781,            0.001781
