               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.067116,           0.0019959,           0.0053121,               0.773,             0.54629,              0.5937,              0.3631,             0.06294,             0.01761,           0.0046574,           0.0019911,           0.0019911,           0.0019911
                  57,             0.06701,           0.0019827,            0.005306,             0.77747,             0.54653,             0.59467,              0.3638,            0.062913,            0.017592,           0.0046453,           0.0019804,           0.0019804,           0.0019804
                  58,            0.066965,            0.002003,           0.0052415,             0.77569,             0.54697,             0.59563,             0.36447,            0.062888,            0.017582,           0.0046373,           0.0019697,           0.0019697,           0.0019697
                  59,            0.067067,            0.001974,           0.0052746,             0.77844,             0.54748,             0.59684,             0.36447,            0.062868,            0.017569,           0.0046335,            0.001959,            0.001959,            0.001959
                  60,            0.067102,           0.0019927,           0.0052371,             0.77605,             0.54922,             0.59695,             0.36452,            0.062846,            0.017557,            0.004626,           0.0019483,           0.0019483,           0.0019483
                  61,            0.066902,           0.0019769,           0.0052359,             0.77706,             0.54938,             0.59688,             0.36511,            0.062824,            0.017547,           0.0046164,           0.0019376,           0.0019376,           0.0019376
                  62,            0.066642,           0.0019691,           0.0052223,             0.77712,             0.55071,             0.59825,             0.36556,              0.0628,            0.017538,           0.0046092,           0.0019269,           0.0019269,           0.0019269
                  63,            0.066631,           0.0019656,            0.005234,             0.77547,             0.55084,             0.59894,             0.36605,            0.062777,            0.017527,           0.0046041,           0.0019162,           0.0019162,           0.0019162
                  64,            0.066749,            0.001971,           0.0052103,             0.77335,             0.55259,             0.59876,             0.36639,            0.062752,            0.017524,           0.0045976,           0.0019055,           0.0019055,           0.0019055
                  65,            0.066404,           0.0019552,           0.0051765,             0.77059,             0.55307,             0.59966,              0.3663,            0.062736,            0.017513,           0.0045923,           0.0018948,           0.0018948,           0.0018948
                  66,            0.066476,           0.0019745,            0.005158,             0.77683,             0.55291,             0.59956,             0.36696,            0.062726,            0.017506,           0.0045861,            0.001884,            0.001884,            0.001884
                  67,             0.06643,           0.0019467,           0.0051355,             0.77598,             0.55214,             0.59956,             0.36751,            0.062712,            0.017493,           0.0045797,           0.0018733,           0.0018733,           0.0018733
                  68,             0.06655,           0.0019516,           0.0051007,             0.77393,             0.55379,             0.60027,             0.36824,             0.06269,            0.017484,           0.0045773,           0.0018626,           0.0018626,           0.0018626
                  69,            0.066587,           0.0019573,           0.0051525,             0.77749,             0.55331,             0.60061,             0.36853,            0.062664,             0.01747,           0.0045724,           0.0018519,           0.0018519,           0.0018519
                  70,             0.06648,           0.0019396,           0.0051365,             0.77971,             0.55173,             0.60033,             0.36913,            0.062648,            0.017457,           0.0045665,           0.0018412,           0.0018412,           0.0018412
                  71,            0.066481,           0.0019409,           0.0051521,             0.77618,             0.55253,             0.60044,             0.36911,            0.062639,            0.017452,           0.0045594,           0.0018305,           0.0018305,           0.0018305
                  72,            0.066608,           0.0019781,           0.0051056,             0.77782,             0.55176,             0.60122,             0.36968,            0.062612,            0.017435,           0.0045525,           0.0018198,           0.0018198,           0.0018198
                  73,            0.066014,           0.0019348,           0.0051091,             0.78393,             0.54918,             0.60234,              0.3709,            0.062588,            0.017425,           0.0045499,           0.0018091,           0.0018091,           0.0018091
                  74,            0.066315,           0.0019522,             0.00508,             0.78321,              0.5496,             0.60258,             0.37121,            0.062559,             0.01741,           0.0045458,           0.0017984,           0.0017984,           0.0017984
                  75,            0.066242,           0.0019436,           0.0051119,             0.78366,             0.55039,             0.60264,              0.3717,             0.06254,            0.017402,           0.0045415,           0.0017877,           0.0017877,           0.0017877
                  76,            0.066096,           0.0019554,           0.0050361,             0.78448,             0.55116,              0.6039,             0.37214,            0.062526,            0.017388,           0.0045335,            0.001777,            0.001777,            0.001777
                  77,            0.066284,           0.0019506,            0.005049,             0.78739,             0.55025,             0.60344,              0.3721,            0.062511,             0.01737,           0.0045317,           0.0017663,           0.0017663,           0.0017663
                  78,            0.066267,           0.0019394,           0.0050348,             0.78185,             0.55377,             0.60308,             0.37197,            0.062497,            0.017359,           0.0045289,           0.0017556,           0.0017556,           0.0017556
                  79,            0.066249,           0.0019505,           0.0050642,             0.79403,             0.54982,             0.60439,              0.3721,            0.062482,            0.017353,           0.0045247,           0.0017449,           0.0017449,           0.0017449
                  80,            0.066198,           0.0019394,           0.0049981,             0.78886,             0.55249,             0.60553,             0.37301,            0.062467,            0.017347,            0.004522,           0.0017341,           0.0017341,           0.0017341
                  81,            0.065801,           0.0019277,           0.0050214,             0.78479,             0.55347,             0.60592,             0.37317,            0.062466,            0.017339,           0.0045197,           0.0017234,           0.0017234,           0.0017234
