                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.00065,                0.11636,                0.08952,                0.54294,                0.22397,                0.25092,                0.12514,                0.00389,                0.34459,                0.09689,             0.00098737,             0.00098737,             0.00098737
                     86,                    inf,                0.11444,                0.08939,                0.54115,                0.22601,                0.25084,                0.12502,                0.00389,                0.34428,                0.09685,             0.00095903,             0.00095903,             0.00095903
                     87,                0.00064,                0.11381,                0.08942,                0.54909,                0.22499,                0.25033,                0.12489,                0.00389,                0.34433,                0.09682,             0.00093068,             0.00093068,             0.00093068
                     88,                0.00064,                0.11301,                 0.0894,                0.55118,                0.22556,                0.24974,                0.12505,                0.00388,                 0.3435,                0.09674,             0.00090234,             0.00090234,             0.00090234
                     89,                0.00064,                0.11318,                0.08936,                0.54283,                0.22605,                0.24897,                 0.1247,                0.00387,                 0.3432,                0.09675,             0.00087399,             0.00087399,             0.00087399
                     90,                0.00065,                0.11325,                0.08953,                0.53017,                0.22587,                0.24847,                0.12485,                0.00387,                0.34246,                0.09674,             0.00084565,             0.00084565,             0.00084565
                     91,                0.00066,                0.07561,                0.09064,                0.53372,                0.22512,                0.24785,                0.12453,                0.00386,                0.34242,                0.09671,              0.0008173,              0.0008173,              0.0008173
                     92,                0.00065,                0.07318,                0.09037,                0.53989,                 0.2254,                0.25003,                0.12574,                0.00385,                0.34128,                0.09651,             0.00078896,             0.00078896,             0.00078896
                     93,                0.00063,                0.06997,                0.09028,                0.54013,                0.22728,                0.25098,                0.12657,                0.00384,                0.34049,                0.09642,             0.00076061,             0.00076061,             0.00076061
                     94,                0.00063,                0.07073,                0.09014,                0.53936,                0.22756,                0.25148,                0.12768,                0.00382,                0.33931,                0.09619,             0.00073227,             0.00073227,             0.00073227
                     95,                0.00063,                0.06991,                0.09019,                0.56234,                0.22674,                 0.2533,                0.12882,                 0.0038,                 0.3372,                0.09596,             0.00070392,             0.00070392,             0.00070392
                     96,                0.00063,                0.06913,                0.09005,                0.55652,                0.22964,                 0.2547,                0.13014,                0.00378,                0.33625,                0.09584,             0.00067558,             0.00067558,             0.00067558
                     97,                0.00062,                0.06841,                0.09009,                0.55846,                0.23185,                0.25663,                0.13137,                0.00377,                0.33525,                0.09574,             0.00064723,             0.00064723,             0.00064723
                     98,                0.00062,                0.06808,                0.08998,                0.56448,                0.23075,                0.25743,                0.13187,                0.00377,                0.33474,                0.09578,             0.00061889,             0.00061889,             0.00061889
                     99,                0.00063,                0.07003,                0.09011,                0.56789,                0.23224,                0.25859,                0.13249,                0.00376,                 0.3339,                0.09571,             0.00059054,             0.00059054,             0.00059054
                    100,                0.00063,                0.07004,                0.09007,                0.56979,                0.23313,                 0.2592,                0.13297,                0.00376,                0.33337,                0.09568,              0.0005622,              0.0005622,              0.0005622
