                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.68517,                0.40035,                0.80861,                0.89274,                0.54492,                0.59854,                 0.4201,                 1.0108,                 0.6379,                0.84249,             0.00080853,             0.00080853,             0.00080853
                     58,                0.68773,                0.39207,                0.80439,                  0.895,                0.54711,                0.61249,                0.42581,                 1.0022,                 0.6303,                0.83543,             0.00080303,             0.00080303,             0.00080303
                     59,                0.66124,                0.38896,                 0.8031,                0.90742,                 0.5462,                0.61442,                0.43059,                0.98821,                0.60857,                0.83537,             0.00079753,             0.00079753,             0.00079753
                     60,                0.66483,                0.39017,                0.80434,                0.92714,                0.53046,                0.61546,                0.43343,                0.98172,                0.61055,                0.83298,             0.00079203,             0.00079203,             0.00079203
                     61,                0.65362,                 0.3879,                0.80506,                0.89358,                0.52739,                0.60214,                  0.425,                0.99288,                0.60521,                0.83435,             0.00078653,             0.00078653,             0.00078653
                     62,                 0.6641,                0.39725,                 0.8063,                0.86691,                0.55476,                0.60868,                0.42029,                0.98327,                0.58458,                0.83577,             0.00078103,             0.00078103,             0.00078103
                     63,                0.67065,                0.39929,                0.80967,                0.88325,                0.54257,                0.59847,                0.41187,                0.99842,                0.59639,                0.83437,             0.00077553,             0.00077553,             0.00077553
                     64,                0.65505,                0.39703,                 0.8059,                0.90542,                0.54585,                0.61817,                0.42934,                0.97567,                0.58103,                0.83303,             0.00077003,             0.00077003,             0.00077003
                     65,                0.67129,                0.38464,                0.80362,                0.89221,                0.55191,                0.62008,                 0.4284,                 1.0182,                 0.6006,                0.83516,             0.00076453,             0.00076453,             0.00076453
                     66,                0.66218,                0.37809,                0.80257,                0.91737,                0.53676,                0.61516,                0.43653,                0.95925,                0.57375,                0.82682,             0.00075904,             0.00075904,             0.00075904
                     67,                0.67929,                0.39621,                0.80658,                 0.9035,                0.53728,                0.61321,                0.43295,                0.94411,                0.58052,                0.82641,             0.00075354,             0.00075354,             0.00075354
                     68,                0.67124,                 0.3967,                0.81013,                0.90054,                0.54367,                0.61372,                0.42051,                 1.0274,                0.60297,                0.83776,             0.00074804,             0.00074804,             0.00074804
                     69,                0.65135,                0.37454,                0.80109,                0.92541,                0.53799,                0.62494,                0.43051,                 1.0022,                0.59067,                0.83956,             0.00074254,             0.00074254,             0.00074254
                     70,                0.64801,                0.37034,                0.79969,                0.90781,                0.54014,                0.61882,                0.43406,                0.95538,                0.57602,                0.83566,             0.00073704,             0.00073704,             0.00073704
                     71,                0.63453,                0.37183,                0.79857,                0.90061,                0.54407,                0.62168,                0.43476,                0.97896,                0.58388,                0.83272,             0.00073154,             0.00073154,             0.00073154
                     72,                 0.6336,                0.37442,                0.80705,                0.91959,                0.54282,                 0.6262,                0.44235,                0.95027,                0.56468,                0.83059,             0.00072604,             0.00072604,             0.00072604
                     73,                0.62983,                0.35847,                0.80275,                0.91451,                0.53536,                0.60938,                0.42907,                  1.019,                0.60462,                0.83942,             0.00072054,             0.00072054,             0.00072054
                     74,                0.64568,                0.37464,                0.80345,                0.90429,                0.53665,                0.60605,                0.42227,                0.99685,                 0.6044,                 0.8371,             0.00071504,             0.00071504,             0.00071504
                     75,                0.63688,                0.37378,                0.79971,                0.91172,                0.53111,                0.61354,                0.43086,                0.98634,                 0.5814,                0.83556,             0.00070954,             0.00070954,             0.00070954
                     76,                0.63768,                0.38147,                0.80032,                0.91398,                0.53242,                0.61184,                0.42993,                0.99509,                0.60134,                0.83812,             0.00070404,             0.00070404,             0.00070404
                     77,                0.62581,                0.37448,                 0.7977,                 0.8915,                0.53903,                0.60963,                0.42905,                0.99675,                0.61139,                0.83941,             0.00069854,             0.00069854,             0.00069854
                     78,                 0.6376,                0.39775,                0.80319,                0.92636,                0.52555,                0.61802,                 0.4253,                0.98039,                0.60245,                0.83333,             0.00069304,             0.00069304,             0.00069304
                     79,                0.64298,                 0.3804,                0.79753,                0.91362,                0.51254,                0.60903,                0.42888,                0.99935,                0.57859,                0.83823,             0.00068754,             0.00068754,             0.00068754
                     80,                0.63851,                0.37523,                0.80197,                0.90216,                0.53269,                0.60942,                0.43046,                 1.0096,                0.59796,                0.83784,             0.00068204,             0.00068204,             0.00068204
                     81,                 0.6256,                0.36774,                  0.798,                0.91659,                0.54183,                0.61163,                0.43428,                 1.0017,                0.59732,                 0.8355,             0.00067654,             0.00067654,             0.00067654
                     82,                0.63113,                0.36247,                0.79937,                0.90497,                0.56246,                0.62009,                 0.4364,                0.96261,                0.58469,                0.83015,             0.00067104,             0.00067104,             0.00067104
                     83,                0.62677,                0.37318,                0.80305,                0.91708,                0.53406,                0.61442,                0.43445,                0.98247,                0.58889,                0.83308,             0.00066554,             0.00066554,             0.00066554
                     84,                0.62174,                0.36036,                0.80355,                0.93407,                0.52393,                0.61078,                0.43282,                0.98044,                0.58252,                0.83096,             0.00066005,             0.00066005,             0.00066005
                     85,                0.63389,                0.36961,                0.80239,                0.91068,                0.55466,                0.62021,                0.43535,                0.95395,                0.57022,                0.82637,             0.00065455,             0.00065455,             0.00065455
                     86,                0.60154,                0.36814,                0.80102,                0.91062,                0.54071,                0.62086,                0.43367,                0.95614,                0.56071,                0.82773,             0.00064905,             0.00064905,             0.00064905
                     87,                0.62701,                0.35756,                0.79944,                0.88619,                0.54879,                0.62491,                0.43906,                0.99596,                0.57525,                0.83648,             0.00064355,             0.00064355,             0.00064355
                     88,                0.61767,                  0.363,                0.80325,                0.89227,                0.55005,                0.62142,                0.43826,                0.95914,                0.56627,                0.83007,             0.00063805,             0.00063805,             0.00063805
                     89,                0.62598,                0.36698,                0.80104,                0.88829,                0.54585,                0.61751,                0.42673,                 1.0036,                0.60211,                 0.8362,             0.00063255,             0.00063255,             0.00063255
                     90,                0.63426,                0.36873,                0.80273,                0.89612,                0.55255,                0.61702,                0.43001,                0.97523,                0.58204,                0.83327,             0.00062705,             0.00062705,             0.00062705
                     91,                0.61799,                0.36184,                 0.8054,                0.89291,                0.54445,                 0.6166,                0.43365,                0.97302,                0.58392,                 0.8336,             0.00062155,             0.00062155,             0.00062155
                     92,                0.59356,                0.33735,                0.81046,                0.91155,                0.53841,                0.61684,                0.43555,                0.97417,                0.58147,                0.83216,             0.00061605,             0.00061605,             0.00061605
                     93,                0.60666,                0.35802,                0.79732,                0.89387,                0.54652,                0.62539,                0.44128,                0.99891,                0.58818,                0.83943,             0.00061055,             0.00061055,             0.00061055
                     94,                0.61002,                0.35978,                0.80183,                0.91684,                0.54588,                0.62877,                0.44669,                0.96071,                0.57719,                0.83193,             0.00060505,             0.00060505,             0.00060505
                     95,                0.58626,                0.34575,                0.79456,                  0.886,                0.55399,                 0.6225,                 0.4402,                0.96326,                0.57739,                0.83207,             0.00059955,             0.00059955,             0.00059955
                     96,                0.59904,                0.36154,                0.79657,                0.92331,                0.53186,                0.62129,                0.42873,                0.97428,                0.57613,                0.83625,             0.00059405,             0.00059405,             0.00059405
                     97,                0.60415,                 0.3553,                 0.7973,                0.93132,                0.53013,                0.61908,                0.43868,                 0.9534,                0.57576,                0.83224,             0.00058855,             0.00058855,             0.00058855
                     98,                0.59667,                0.34319,                 0.8003,                0.89901,                0.53374,                0.61637,                0.43547,                0.95649,                0.59692,                0.83284,             0.00058305,             0.00058305,             0.00058305
                     99,                0.58697,                0.34178,                0.80837,                0.91194,                0.53143,                0.62181,                0.43754,                 0.9751,                0.58818,                0.83055,             0.00057755,             0.00057755,             0.00057755
                    100,                 0.5726,                0.35372,                0.79369,                0.92141,                0.51143,                0.62081,                0.44227,                0.98596,                0.59809,                0.83316,             0.00057205,             0.00057205,             0.00057205
                    101,                 0.5846,                0.33283,                 0.7971,                0.89517,                0.55146,                0.62345,                0.44647,                0.96125,                0.59897,                 0.8296,             0.00056655,             0.00056655,             0.00056655
                    102,                0.57969,                0.35146,                0.79271,                0.91463,                 0.5259,                0.61386,                0.43651,                0.97246,                0.57302,                0.83161,             0.00056105,             0.00056105,             0.00056105
                    103,                0.59294,                0.34414,                 0.7989,                0.91622,                0.52387,                 0.6125,                0.43107,                0.97266,                0.56867,                0.83131,             0.00055556,             0.00055556,             0.00055556
                    104,                0.58317,                0.35008,                0.79307,                0.91858,                0.54168,                0.61974,                0.43297,                 1.0019,                0.60973,                0.83512,             0.00055006,             0.00055006,             0.00055006
                    105,                0.59376,                0.36062,                0.79752,                0.89466,                0.55112,                0.62059,                0.43666,                0.97978,                0.60499,                0.83551,             0.00054456,             0.00054456,             0.00054456
                    106,                0.58085,                0.34495,                0.79815,                0.89892,                0.55066,                 0.6135,                0.43704,                0.96535,                0.58911,                0.82932,             0.00053906,             0.00053906,             0.00053906
                    107,                0.60418,                0.35781,                0.79172,                0.93536,                0.51716,                0.61217,                0.43772,                0.98758,                0.58018,                0.83476,             0.00053356,             0.00053356,             0.00053356
                    108,                0.57003,                0.33524,                0.79631,                0.89151,                0.55272,                0.61444,                0.43555,                0.97671,                 0.5659,                0.83221,             0.00052806,             0.00052806,             0.00052806
                    109,                0.56732,                 0.3329,                0.79351,                0.90724,                0.54787,                0.62245,                0.43688,                0.96465,                0.56991,                0.82943,             0.00052256,             0.00052256,             0.00052256
                    110,                0.57991,                0.34597,                0.79731,                0.91612,                0.53768,                0.62722,                0.44247,                0.97103,                0.58323,                0.83278,             0.00051706,             0.00051706,             0.00051706
                    111,                0.56132,                0.33411,                0.79024,                0.90121,                0.55956,                0.63024,                0.44625,                0.97519,                0.57376,                0.83354,             0.00051156,             0.00051156,             0.00051156
                    112,                0.56911,                0.32522,                0.79249,                0.93563,                 0.5419,                0.62979,                0.44413,                0.96649,                0.60549,                0.83405,             0.00050606,             0.00050606,             0.00050606
                    113,                0.58586,                0.33846,                0.79454,                0.90513,                0.54537,                0.62958,                0.43992,                0.99381,                0.61144,                0.83617,             0.00050056,             0.00050056,             0.00050056
                    114,                0.57306,                0.33972,                0.79726,                 0.9075,                0.54191,                0.61703,                0.43625,                0.95203,                0.57442,                0.83172,             0.00049506,             0.00049506,             0.00049506
