               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.027658,          0.00074393,           0.0031308,             0.71837,             0.42554,             0.46738,             0.30889,            0.011349,           0.0019628,           0.0030927,           0.0020078,           0.0020078,           0.0020078
                  49,            0.027648,          0.00074442,           0.0031251,             0.72498,             0.42308,             0.46675,             0.30813,            0.011349,           0.0019636,           0.0031277,           0.0019794,           0.0019794,           0.0019794
                  50,            0.027658,          0.00074643,           0.0031093,             0.72987,             0.42158,             0.46757,             0.30861,            0.011347,           0.0019607,            0.003125,           0.0019511,           0.0019511,           0.0019511
                  51,             0.02755,          0.00074074,            0.003088,             0.73451,             0.42207,             0.46738,             0.30867,             0.01134,           0.0019593,           0.0031297,           0.0019228,           0.0019228,           0.0019228
                  52,            0.027487,          0.00074142,           0.0031297,             0.73867,             0.42187,             0.46779,             0.30863,            0.011344,           0.0019633,           0.0031224,           0.0018944,           0.0018944,           0.0018944
                  53,            0.027392,           0.0007391,           0.0030749,              0.7371,             0.42177,             0.46748,             0.30856,            0.011338,           0.0019638,           0.0031235,           0.0018661,           0.0018661,           0.0018661
                  54,            0.027452,          0.00073913,           0.0031083,             0.73456,             0.42256,             0.46722,             0.30844,            0.011356,           0.0019649,           0.0031205,           0.0018377,           0.0018377,           0.0018377
                  55,            0.027508,          0.00074384,            0.003118,             0.73331,             0.42251,             0.46668,             0.30799,            0.011352,            0.001958,             0.00313,           0.0018094,           0.0018094,           0.0018094
                  56,            0.027383,          0.00073708,           0.0030656,             0.73396,             0.42386,             0.46708,             0.30792,            0.011363,           0.0019567,           0.0031256,            0.001781,            0.001781,            0.001781
                  57,            0.027374,          0.00074089,           0.0030646,             0.72914,              0.4234,              0.4671,             0.30812,            0.011354,           0.0019598,           0.0031256,           0.0017527,           0.0017527,           0.0017527
                  58,            0.027445,          0.00073721,           0.0031107,             0.73144,              0.4231,             0.46756,             0.30889,            0.011348,           0.0019549,           0.0031215,           0.0017243,           0.0017243,           0.0017243
                  59,            0.027381,           0.0007327,           0.0030896,             0.72883,             0.42453,             0.46823,             0.30934,            0.011343,           0.0019584,           0.0031234,            0.001696,            0.001696,            0.001696
                  60,            0.027385,          0.00073434,           0.0030778,             0.71622,             0.42482,             0.46866,             0.31037,            0.011339,           0.0019612,           0.0031132,           0.0016677,           0.0016677,           0.0016677
                  61,            0.027281,           0.0007282,            0.003066,              0.7209,             0.42452,             0.46888,             0.31037,            0.011334,           0.0019604,           0.0031003,           0.0016393,           0.0016393,           0.0016393
                  62,            0.027364,          0.00072833,           0.0030782,             0.72501,             0.42462,              0.4702,             0.31131,            0.011328,           0.0019607,           0.0030817,            0.001611,            0.001611,            0.001611
                  63,            0.027282,          0.00072371,           0.0030418,             0.72203,             0.42506,             0.47086,               0.312,            0.011323,           0.0019614,           0.0030739,           0.0015826,           0.0015826,           0.0015826
                  64,            0.027166,          0.00072651,           0.0030603,             0.72349,             0.42598,              0.4715,             0.31233,            0.011324,           0.0019613,           0.0030743,           0.0015543,           0.0015543,           0.0015543
